,track_id,average_seconds_played,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_name_x,artist_name_x,artist_id_x,genres_x,track_popularity_x,track_name_y,artist_name_y,artist_id_y,genres_y,track_popularity_y,avg_completion_rate,total_plays
863,spotify:track:1xWkeSPhf3bZqHY7Ncz8vp,144.39,0.724,0.779,7.0,-5.412,0.0,0.0807,0.098,0.0,0.127,0.53,123.013,4.0,500lbs,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,"['melodic rap', 'pluggnb', 'rap']",69.0,500lbs,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,"['melodic rap', 'pluggnb', 'rap']",69.0,1.0,1
2245,spotify:track:4xTRiW8KxQjf6JxeyozXkZ,144.373,0.744,0.535,6.0,-9.499,0.0,0.0736,0.279,0.0,0.143,0.106,132.86,4.0,you & me,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,"['atl hip hop', 'melodic rap', 'rap', 'trap']",0.0,you & me,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,"['atl hip hop', 'melodic rap', 'rap', 'trap']",0.0,1.0,1
3251,spotify:track:7GeTsDIc5ykNB6lORO6Cee,144.369,0.732,0.584,1.0,-8.525,1.0,0.076,0.00903,0.0,0.318,0.262,103.981,4.0,Circo Loco,Drake,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",67.0,Circo Loco,Drake,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",67.0,0.6096792584302878,3
960,spotify:track:29s4u1adFGLWtGehbR5xkq,144.361,0.898,0.577,2.0,-7.785,1.0,0.238,0.0361,0.0,0.176,0.266,83.018,4.0,Touch The Sky,Future,1RyvyyTE3xzB2ZywiAwp0i,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",46.0,Touch The Sky,Future,1RyvyyTE3xzB2ZywiAwp0i,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",46.0,1.0,1
904,spotify:track:23OYT3SFtoJqhiAUqktbc1,144.31062500000002,0.479,0.645,5.0,-7.336,0.0,0.302,0.135,0.0,0.0825,0.381,155.057,4.0,No Return (with The Kid LAROI & Lil Durk),Polo G,6AgTAQt8XS6jRWi4sX7w49,"['chicago rap', 'rap']",54.0,No Return (with The Kid LAROI & Lil Durk),Polo G,6AgTAQt8XS6jRWi4sX7w49,"['chicago rap', 'rap']",54.0,0.8552805089818585,8
125,spotify:track:0HNKMJ2EKCaT2EqcCBj1EH,144.29,0.752,0.531,1.0,-6.236,1.0,0.0568,0.0534,0.0,0.124,0.2,131.97,4.0,Way Bigger,Don Toliver,4Gso3d4CscCijv0lmajZWs,['rap'],60.0,Way Bigger,Don Toliver,4Gso3d4CscCijv0lmajZWs,['rap'],60.0,0.7361321558483962,1
455,spotify:track:11pn4LFXCIXyprWQk8RSlM,144.2790625,0.613,0.797,7.0,-5.564,0.0,0.299,0.0185,0.0,0.279,0.336,145.011,4.0,Crush Em,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",51.0,Crush Em,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",51.0,0.8713082541714728,32
472,spotify:track:146stJfwkHW8JHdgdD57c0,144.22,0.935,0.563,10.0,-8.996,1.0,0.16,0.00748,0.0,0.105,0.686,96.02,4.0,Real Shit,Hardhead Kash,3dc7UMWY1ORobgiVqDkG3h,[],0.0,Real Shit,Hardhead Kash,3dc7UMWY1ORobgiVqDkG3h,[],0.0,0.6990281850568306,1
2693,spotify:track:62DOQC3exqebSVLWyN2mWa,144.2,0.691,0.718,7.0,-7.076,1.0,0.07,0.0103,0.0632,0.156,0.34,158.924,4.0,problem,Cash Cobain,2R0CFyeMDiRbfkhkIMbyl1,['jersey club'],50.0,problem,Cash Cobain,2R0CFyeMDiRbfkhkIMbyl1,['jersey club'],50.0,0.31411194758120725,1
519,spotify:track:1AtfRCNFF9yt1lVCNx2DVN,144.16,0.844,0.54,1.0,-7.528,1.0,0.347,0.142,0.0,0.141,0.567,139.97,4.0,Chase The Bag,King Von,6QtgPSJPSzcnn7dPZ4VINp,"['chicago rap', 'rap']",43.0,Chase The Bag,King Von,6QtgPSJPSzcnn7dPZ4VINp,"['chicago rap', 'rap']",43.0,1.0,3
